,text,AC,ACP,label
0,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",anecdotes/miscellaneous,positive,3.0
1,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,anecdotes/miscellaneous,positive,3.0
2,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,anecdotes/miscellaneous,positive,3.0
3,"He can't help, they're bought up so fast.",anecdotes/miscellaneous,neutral,2.0
4,"i have eaten here a handful of times, for no reason besides sheer convenience.",anecdotes/miscellaneous,neutral,2.0
5,We were very disappointed.,anecdotes/miscellaneous,negative,1.0
6,I really liked this place.,anecdotes/miscellaneous,positive,3.0
7,I will be going back very soon.,anecdotes/miscellaneous,positive,3.0
8,Will not be back.,anecdotes/miscellaneous,negative,1.0
9,Look foward to trying the Ruben upon returning.,anecdotes/miscellaneous,positive,3.0
10,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,anecdotes/miscellaneous,neutral,2.0
11,We usually go to the Chart House to celebrate a birthday or anniversary.,anecdotes/miscellaneous,neutral,2.0
12,You'll adore it.,anecdotes/miscellaneous,positive,3.0
13,I have been to Roth's twice and both times were very disappointing.,anecdotes/miscellaneous,negative,1.0
14,Worth visiting the 1st Ave spot because it is the original store.,anecdotes/miscellaneous,positive,3.0
15,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",anecdotes/miscellaneous,neutral,2.0
16,I highly recommend the Sophia pizza.,anecdotes/miscellaneous,positive,3.0
17,This is a consistently great place to dine for lunch or dinner.,anecdotes/miscellaneous,positive,3.0
18,All the people that I bring there go back on their own and bring THEIR friends!,anecdotes/miscellaneous,positive,3.0
19,After really enjoying ourselves at the bar we sat down at a table and had dinner.,anecdotes/miscellaneous,positive,3.0
20,Not what I wanted to hear.,anecdotes/miscellaneous,negative,1.0
21,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",anecdotes/miscellaneous,negative,1.0
22,Go here for a romantic dinner but not for an all out wow dining experience.,anecdotes/miscellaneous,conflict,
23,Can't wait to go back.,anecdotes/miscellaneous,positive,3.0
24,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,anecdotes/miscellaneous,neutral,2.0
25,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",anecdotes/miscellaneous,positive,3.0
26,We happened upon this place purely by accident and were pleased with the results.,anecdotes/miscellaneous,positive,3.0
27,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,anecdotes/miscellaneous,positive,3.0
28,Sapphire is the only Indian restaurant I go to when I'm in NYC.,anecdotes/miscellaneous,positive,3.0
29,I heartily recommend.,anecdotes/miscellaneous,positive,3.0
30,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,anecdotes/miscellaneous,positive,3.0
31,"This place, which is only a few months old, is perhaps Queens' biggest secret!",anecdotes/miscellaneous,positive,3.0
32,This place is so much fun.,anecdotes/miscellaneous,positive,3.0
33,I was glad I did.,anecdotes/miscellaneous,positive,3.0
34,I'll be back soon.,anecdotes/miscellaneous,positive,3.0
35,Went inside and I started to get excited.,anecdotes/miscellaneous,positive,3.0
36,"However, it is jus too good to not praise it.",anecdotes/miscellaneous,positive,3.0
37,We have been to Montparnasse many times and return often for good reason.,anecdotes/miscellaneous,positive,3.0
38,The strong scents coming from the left and right of me negatively affected my taste buds.,anecdotes/miscellaneous,negative,1.0
39,It's somewhere you can eat and be happy.,anecdotes/miscellaneous,positive,3.0
40,"If you wrote a bad review, it's because you don't understand what Rao's is all about.",anecdotes/miscellaneous,positive,3.0
41,but overall i give it a 10,anecdotes/miscellaneous,positive,3.0
42,This was one of the BEST restaurants I've ever been to.,anecdotes/miscellaneous,positive,3.0
43,This restaurant used to be pretty decent.,anecdotes/miscellaneous,negative,1.0
44,I was there on sat.,anecdotes/miscellaneous,neutral,2.0
45,VT is what baby pizzas hope to be when they grow up.,anecdotes/miscellaneous,positive,3.0
46,The last time I went we were seated at a table in a corridor next to the kitchen.,anecdotes/miscellaneous,negative,1.0
47,The entire dining experience was wonderful!,anecdotes/miscellaneous,positive,3.0
48,What more can you ask for?,anecdotes/miscellaneous,positive,3.0
49,Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,anecdotes/miscellaneous,neutral,2.0
50,I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,anecdotes/miscellaneous,negative,1.0
51,I look forward to eating here again,anecdotes/miscellaneous,positive,3.0
52,I know because I live nearby.,anecdotes/miscellaneous,neutral,2.0
53,My entire family was horrified.,anecdotes/miscellaneous,negative,1.0
54,On a monthly basis my friends and I get together and have a girls night out.,anecdotes/miscellaneous,neutral,2.0
55,I have NEVER been disappointed in the Red Eye.,anecdotes/miscellaneous,positive,3.0
56,This should have been done in a back room - away from customers.,anecdotes/miscellaneous,negative,1.0
57,Glad you have the luxury to throw out paying customers.,anecdotes/miscellaneous,neutral,2.0
58,Check it out,anecdotes/miscellaneous,positive,3.0
59,Don't go.,anecdotes/miscellaneous,negative,1.0
60,But they do.,anecdotes/miscellaneous,neutral,2.0
61,Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,anecdotes/miscellaneous,neutral,2.0
