text,AC,ACP
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",food,positive
Nevertheless the food itself is pretty good.,food,positive
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",food,negative
He has visited Thailand and is quite expert on the cuisine.,food,positive
The pizza is the best if you like thin crusted pizza.,food,positive
"I asked for seltzer with lime, no ice.",food,neutral
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,positive
My suggestion is to eat family style because you'll want to try the other dishes.,food,neutral
"The quantity is also very good, you will come out satisfied.",food,positive
The fried rice is amazing here.,food,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",food,positive
it's a perfect place to have a amanzing indian food.,food,positive
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,food,positive
The food was delicious but do not come here on a empty stomach.,food,conflict
The wine list is excellent.,food,positive
so garantuan that you can't fit them in a toaster.,food,positive
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",food,positive
Try the lasagnette appetizer.,food,positive
I liked the beer selection!,food,positive
Wine list selection is good and wine-by-the-glass was generously filled to the top.,food,positive
"With the great variety on the menu , I eat here often and never get bored .",food,positive
The menu is very limited - i think we counted 4 or 5 entrees.,food,negative
The menu is limited but almost all of the dishes are excellent.,food,conflict
Not too crazy about their sake martini.,food,negative
We always have a delicious meal and always leave feeling satisfied.,food,positive
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",food,neutral
"My husbands was perfect, my was well done and dry.",food,conflict
The pizza was pretty good and huge.,food,positive
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",food,neutral
All my co-workers were amazed at how small the dish was.,food,negative
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",food,negative
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,food,positive
We had the lobster sandwich and it was FANTASTIC.,food,positive
Deep Fried Skewers are good and still rare to find in NYC.,food,positive
I also recommend the rice dishes or the different varieties of congee (rice porridge).,food,positive
Their tuna tartar appetizer is to die for.,food,positive
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,positive
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",food,positive
I love Indian food and consider myself to be quite an expert on it.,food,positive
Some baby pizzas get their wish.,food,neutral
Plenty of choices to make your own creation.,food,positive
The lava cake dessert was incredible and I recommend it.,food,positive
Not impressed with the food.,food,negative
"Order the panang duck, it's fantastic.",food,positive
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",food,conflict
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",food,positive
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",food,negative
and yes Dal Bukhara is so dam good and so are all the kababs.,food,positive
I've been coming here as a child and always come back for the taste.,food,positive
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",food,positive
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,negative
The pizza here is delicious.,food,positive
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",food,positive
Hats off to the chef.,food,positive
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",food,positive
The food was bland oily.,food,negative
The fish is fresh but the variety of fish is nothing out of ordinary.,food,conflict
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",food,positive
Try the tandoori salmon!,food,positive
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,food,positive
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",food,positive
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",food,positive
They were served warm and had a soft fluffy interior.,food,positive
What came to our table was burned beyond recognition and stringy.,food,negative
I had the Pad Thai and the noodles were sticky.,food,negative
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",food,positive
The food is great.,food,positive
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,food,positive
even the wine by the glass was good.,food,positive
This dish is my favorite and I always get it when I go there and never get tired of it.,food,positive
"I also ordered the Change Mojito, which was out of this world.",food,positive
"The food was just awful, ATROCIOUS actually.",food,negative
