text,AC,ACP,ac2,acp2,ac3,acp3,ac4,acp4,ac5,acp5,label
It is also extremely well priced.,price,positive,,,,,,,,,3.0
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",price,negative,,,,,,,,,1.0
They have authentic Indian at amazin prices.,price,positive,,,,,,,,,3.0
Although be warned their dinner menu to sit and take out prices are different.,price,neutral,,,,,,,,,2.0
I just wonder how you can have such a delicious meal for such little money.,price,positive,,,,,,,,,3.0
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",price,positive,,,,,,,,,3.0
"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.",price,negative,,,,,,,,,1.0
Decent wine at reasonable prices.,price,positive,,,,,,,,,3.0
The pizza is overpriced and soggy.,price,positive,,,,,,,,,3.0
Drinks way over priced.,price,negative,,,,,,,,,1.0
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,price,positive,,,,,,,,,3.0
Nice value.,price,positive,,,,,,,,,3.0
"Oh, but wait, we were out of drinks (which were also delightfully overpriced).",price,negative,,,,,,,,,1.0
"Oh, don't even let me start with how expensive the bills were!",price,negative,,,,,,,,,1.0
The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,price,positive,,,,,,,,,3.0
"Great food at REASONABLE prices, makes for an evening that can't be beat!",price,positive,,,,,,,,,3.0
Very affordable and excellent ambient!,price,positive,,,,,,,,,3.0
Great food and the prices are very reasonable.,price,positive,,,,,,,,,3.0
The menu prices are a bit expensive for what you get in quality and portion size.,price,negative,,,,,,,,,1.0
This restaurant is a wonderful place to go many times and it is reasonably priced.,price,positive,,,,,,,,,3.0
"Considering their price of $6.25 for lunch special, the dish was ridiculously small.",price,negative,,,,,,,,,1.0
"This place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.",price,negative,,,,,,,,,1.0
And the prices were way to high for what you get.,price,negative,,,,,,,,,1.0
