@_id,text,aspectTerms/aspectTerm/0/@_term,aspectTerms/aspectTerm/0/@_polarity,aspectTerms/aspectTerm/0/@_from,aspectTerms/aspectTerm/0/@_to,aspectTerms/aspectTerm/1/@_term,aspectTerms/aspectTerm/1/@_polarity,aspectTerms/aspectTerm/1/@_from,aspectTerms/aspectTerm/1/@_to,aspectTerms/aspectTerm/2/@_term,aspectTerms/aspectTerm/2/@_polarity,aspectTerms/aspectTerm/2/@_from,aspectTerms/aspectTerm/2/@_to,aspectTerms/aspectTerm/3/@_term,aspectTerms/aspectTerm/3/@_polarity,aspectTerms/aspectTerm/3/@_from,aspectTerms/aspectTerm/3/@_to,ac1,acp1,aspectTerms/aspectTerm/@_term,aspectTerms/aspectTerm/@_polarity,aspectTerms/aspectTerm/@_from,aspectTerms/aspectTerm/@_to,ac2,acp2,ac3,acp3,ac4,acp4,aspectTerms/aspectTerm/4/@_term,aspectTerms/aspectTerm/4/@_polarity,aspectTerms/aspectTerm/4/@_from,aspectTerms/aspectTerm/4/@_to
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,positive,8,18,salads,positive,23,29,steak,positive,49,54,pasta,positive,82,87,food,positive,,,,,,,,,,,,,,
1579,And really large portions.,,,,,,,,,,,,,,,,,food,positive,portions,positive,17,25,,,,,,,,,,
2707,Go inside and you won't want to leave.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3126,Save yourself the time and trouble and skip this one!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,,,,,,,,,,,,,,
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,sweet lassi,positive,4,15,lamb chettinad,positive,41,55,garlic naan,positive,64,75,rasamalai,negative,84,93,food,conflict,,,,,,,,,,,,,,
1609,Service was quick.,,,,,,,,,,,,,,,,,service,positive,Service,positive,0,7,,,,,,,,,,
3018,"Oh, don't even let me start with how expensive the bills were!",,,,,,,,,,,,,,,,,price,negative,bills,negative,51,56,,,,,,,,,,
3292,Service is top notch.,,,,,,,,,,,,,,,,,service,positive,Service,positive,0,7,,,,,,,,,,
2041,The best thing I tasted were the lambc hops.,,,,,,,,,,,,,,,,,food,positive,lambc hops,positive,33,43,,,,,,,,,,
2609,Overall I would recommend it and go back again.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
1194,I've been here a couple of times and have not been impressed.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,,,,,,,,,,,,,,
3440,"Even though its good seafood, the prices are too high.",seafood,positive,21,28,prices,negative,34,40,,,,,,,,,,,,,,,food,positive,price,negative,,,,,,
870,"In addition, the food is very good and the prices are reasonable.",food,positive,17,21,prices,positive,43,49,,,,,,,,,,,,,,,food,positive,price,positive,,,,,,
2507,The food is great and authentic.,,,,,,,,,,,,,,,,,food,positive,food,positive,4,8,,,,,,,,,,
586,I was at Rao's last Wed.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,,,,,,,,,,,,,,
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",garlic shrimp,positive,16,29,okra (bindi),positive,31,43,lamb,positive,63,67,,,,,food,positive,,,,,,,,,,,,,,
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",menu,positive,4,8,burger,neutral,55,61,steak,neutral,66,71,escargot,neutral,76,84,food,positive,,,,,,,,,,,,,,
2077,very good breads as well.,,,,,,,,,,,,,,,,,food,positive,breads,positive,10,16,,,,,,,,,,
201,"Anyway, the food is good, the price is right and they have a decent wine list.",food,positive,12,16,price,positive,30,35,wine list,positive,68,77,,,,,,,,,,,food,positive,price,positive,,,,,,
3049,The food was lousy -too sweet or too salty and the portions tiny.,food,negative,4,8,portions,negative,51,59,,,,,,,,,food,negative,,,,,,,,,,,,,,
1242,But the coconut rice was good.,,,,,,,,,,,,,,,,,food,positive,coconut rice,positive,8,20,,,,,,,,,,
